bg,humus_kat,pH_lo,pH_hi,CaO
5,<4,4.6,4.6,152
5,<4,4.7,4.7,144
5,<4,4.8,4.8,136
5,<4,4.9,4.9,128
5,<4,5.0,5.0,121
5,<4,5.1,5.1,113
5,<4,5.2,5.2,105
5,<4,5.3,5.3,98
5,4.1-8.0,,4.2,137
5,4.1-8.0,4.3,4.3,130
5,4.1-8.0,4.4,4.4,123
5,4.1-8.0,4.5,4.5,115
5,4.1-8.0,4.6,4.6,108
5,4.1-8.0,4.7,4.7,100
5,4.1-8.0,4.8,4.8,93
5,4.1-8.0,4.9,4.9,86
5,8.1-15.0,,3.8,121
5,8.1-15.0,3.9,3.9,115
5,8.1-15.0,4.0,4.0,108
5,8.1-15.0,4.1,4.1,102
5,8.1-15.0,4.2,4.2,95
5,8.1-15.0,4.3,4.3,89
5,8.1-15.0,4.4,4.4,82
5,8.1-15.0,4.5,4.5,76
5,15.1-30.0,,3.3,44
5,15.1-30.0,3.4,3.4,41
5,15.1-30.0,3.5,3.5,39
5,15.1-30.0,3.6,3.6,37
5,15.1-30.0,3.7,3.7,35
5,15.1-30.0,3.8,3.8,33
5,15.1-30.0,3.9,3.9,31
5,15.1-30.0,4.0,4.0,29
5,<4,5.4,5.4,90
5,<4,5.5,5.5,82
5,<4,5.6,5.6,75
5,<4,5.7,5.7,67
5,<4,5.8,5.8,59
5,<4,5.9,5.9,52
5,<4,6.0,6.0,44
5,<4,6.1,6.1,36
5,<4,6.2,6.2,29
5,<4,6.3,6.3,21
5,4.1-8.0,5.0,5.0,78
5,4.1-8.0,5.1,5.1,71
5,4.1-8.0,5.2,5.2,69
5,4.1-8.0,5.3,5.3,56
5,4.1-8.0,5.4,5.4,49
5,4.1-8.0,5.5,5.5,41
5,4.1-8.0,5.6,5.6,34
5,4.1-8.0,5.7,5.7,27
5,4.1-8.0,5.8,5.8,19
5,8.1-15.0,4.6,4.6,69
5,8.1-15.0,4.7,4.7,63
5,8.1-15.0,4.8,4.8,56
5,8.1-15.0,4.9,4.9,50
5,8.1-15.0,5.0,5.0,43
5,8.1-15.0,5.1,5.1,37
5,8.1-15.0,5.2,5.2,30
5,8.1-15.0,5.3,5.3,24
5,15.1-30.0,4.1,4.1,27
5,15.1-30.0,4.2,4.2,25
5,15.1-30.0,4.3,4.3,23
5,15.1-30.0,4.4,4.4,21
5,15.1-30.0,4.5,4.5,19
5,<4,6.4,7.2,20
5,4.1-8.0,5.9,6.7,18
5,8.1-15.0,5.5,6.3,16
5,15.1-30.0,5.1,5.9,7
6,>30.0,,4.2,10
